"ShowID","ShowDate","ShowName","DeadBaseID","VenueID","TapeRank","GotIT","Quality","MyNotes","ShowNotes","ShowFirstLine"
472,"1971-11-20","11-20-71",713,46,465,0,-1,"","FM broadcast KMET - also: NRPS","11-20-71 Pauley Pavilion/, U.C.L.A./, Los Angeles/, Ca. (Sat)"
473,"1971-12-02","12-02-71",715,47,466,0,-1,"","FM broadcast WBCN-Boston - last ""Smokestack"": 02-19-71 [68] - also: NRPS","12-02-71 Boston Music Hall/, Boston/, Ma. (Thu)"
474,"1971-12-10","12-10-71",721,100,467,0,-1,"","FM broadcast KADI - final ""China Cat Jam"" - also: NRPS","12-10-71 Fox Theatre/, St. Louis/, Mo. (Fri)"
475,"1971-12-31","12-31-71",724,602,468,0,-1,"","*with Donna Godchaux FM broadcast KSAN-San Francisco - billing: GD; NRPS; Yogi Phlegm - first ""Big River"" - first ""Chinatown Shuffle"" - last ""Dancin"": 12-17-70b [86] - last ""Same Thing"": 06-06-67 [552","12-31-71 Winterland Arena/, San Francisco/, Ca. (Fri)"
476,"1972-03-23","03-23-72",729,159,469,0,-1,"","","03-23-72 Academy of Music/, New York/, N.Y. (Thu)"
477,"1972-03-28","03-28-72",733,159,470,0,-1,"","only ""Sidewalks Of New York""","03-28-72 Academy of Music/, New York/, N.Y. (Tue)"
478,"1972-04-08","04-08-72",735,204,471,0,-1,"","""Cumberland"" appears on ""Europe '72""","04-08-72 Wembley Empire Pool/, London/, England (Sat)"
479,"1972-04-24","04-24-72",741,205,472,0,-1,"","","04-24-72 Rheinhalle/, Duesseldorf/, West Germany (Mon)"
480,"1972-04-26","04-26-72",742,206,473,0,-1,"","*appears on ""Hundred Year Hall""","04-26-72 Jahrhundert Halle/, Frankfurt/, West Germany (Wed)"
481,"1972-04-29","04-29-72",743,207,474,0,-1,"","","04-29-72 Musikhalle/, Hamburg/, West Germany (Sat)"
482,"1972-05-03","05-03-72",744,208,475,0,-1,"","""China Cat,"" ""I Know You Rider,"" ""Tennessee Jed,"" and ""Jack Straw"" appear on ""Europe '72""","05-03-72 Olympia Theater/, Paris/, France (Wed)"
483,"1972-05-04","05-04-72",745,208,476,0,-1,"","""Sugar Magnolia"" appears on ""Europe '72""","05-04-72 Olympia Theater/, Paris/, France (Thu)"
484,"1972-05-10","05-10-72",747,209,477,0,-1,"","""He's Gone"" appears on ""Europe '72""","05-10-72 Concertgebouw/, Amsterdam/, The Netherlands (Wed)"
485,"1972-05-18","05-18-72",751,210,478,0,-1,"","","05-18-72 Kongressaal/, Deutsches Museum/, Muenchen/, West Germany (Thu)"
486,"1972-05-25","05-25-72",754,26,479,0,-1,"","final ""Top Of The World"" - final Pigpen ""Good Lovin"" - also: NRPS","05-25-72 The Strand Lyceum/, London/, England (Thu)"
487,"1972-08-21","08-21-72",765,120,480,0,-1,"","last ""Space"": 10-08-68 [447]","08-21-72 Berkeley Community Theatre/, Berkeley/, Ca. (Mon)"
488,"1972-08-24","08-24-72",767,120,481,0,-1,"","also: NRPS","08-24-72 Berkeley Community Theatre/, Berkeley/, Ca. (Thu)"
489,"1972-09-10","09-10-72",772,117,482,0,-1,"","*with David Crosby","09-10-72 Hollywood Palladium/, Hollywood/, Ca. (Sun)"
490,"1972-09-17","09-17-72",775,174,483,0,-1,"","","09-17-72 Baltimore Civic Center/, Baltimore/, Md. (Sun)"
491,"1972-09-21","09-21-72",777,36,484,0,-1,"","","09-21-72 The Spectrum/, Philadelphia/, Pa. (Thu)"
492,"1972-09-28","09-28-72",782,211,485,0,-1,"","","09-28-72 Stanley Theatre/, Jersey City/, N.J. (Thu)"
493,"1972-10-18","10-18-72",787,100,486,1,-1,"","","10-18-72 Fox Theatre/, St. Louis/, Mo. (Wed)"
494,"1972-11-14","11-14-72",798,212,487,0,-1,"","","11-14-72 Oklahoma City Music Hall/, Oklahoma City/, Ok. (Tue)"
495,"1972-12-15","12-15-72",809,213,488,0,-1,"","","12-15-72 Long Beach Arena/, Long Beach/, Ca. (Fri)"
496,"1973-02-19","02-19-73",814,214,489,0,-1,"","also: NRPS","02-19-73 International Amphitheatre/, Chicago/, Il. (Mon)"
497,"1973-03-21","03-21-73",823,215,490,0,-1,"","","03-21-73 Utica Memorial Auditorium/, Utica/, N.Y. (Wed)"
498,"1973-03-28","03-28-73",827,107,491,0,-1,"","","03-28-73 Springfield Civic Center Arena/, Springfield/, Ma. (Wed)"
499,"1973-05-13","05-13-73",831,67,492,0,-1,"","","05-13-73 State Fairgrounds/, Des Moines/, Ia. (Sun)"
500,"1973-07-28","07-28-73",842,216,493,0,-1,"","*with Allman Brothers and The Band""Summer Jam"" - final/last ""Mountain Jam"": 11-06-70b [223] - billing: GD; Allman Brothers Band; The Band","07-28-73 Grand Prix Racecourse/, Watkins Glen/, N.Y. (Sat)"
501,"1973-09-15","09-15-73",849,35,494,0,-1,"","*with Martin Fierro and Joe Ellis on horns Doug Sahm opened","09-15-73 Providence Civic Center/, Providence/, R.I. (Sat)"
502,"1973-11-14","11-14-73",867,217,495,0,-1,"","","11-14-73 San Diego Sports Arena/, San Diego/, Ca. (Wed)"
503,"1973-11-20","11-20-73",869,218,496,0,-1,"","last ""Dire Wolf"": 10-19-72 [81]","11-20-73 Denver Coliseum/, Denver/, Co. (Tue)"
504,"1973-11-25","11-25-73",872,219,497,0,-1,"","","11-25-73 Feyline Field/, Tempe/, Az. (Sun)"
505,"1973-12-06","12-06-73",877,220,498,0,-1,"","","12-06-73 Cleveland Convention Center/, Cleveland/, Oh. (Thu)"
506,"1973-12-12","12-12-73",880,95,499,0,-1,"","sound check: ""Rip It Up,"" ""Blue Suede Shoes,"" ""Peggy-O,"" ""Jack Straw,"" ""Cumberland,"" ""30 Days""","12-12-73 The Omni/, Atlanta/, Ga. (Wed)"
507,"1973-12-18","12-18-73",881,82,500,0,-1,"","","12-18-73 Curtis Hixon Convention Hall/, Tampa/, Fl. (Tue)"
508,"1974-02-23","02-23-74",884,602,501,0,-1,"","""Slipknot"" intro in ""Other One""","02-23-74 Winterland Arena/, San Francisco/, Ca. (Sat)"
509,"1974-05-14","05-14-74",888,221,502,0,-1,"","""Beer Barrel Polka"" tuning before ""Deal""","05-14-74 Adams Field House/, U. of Montana/, Missoula/, Mt. (Tue)"
510,"1974-05-17","05-17-74",889,103,503,1,-1,"","first ""Money Money""","05-17-74 P.N.E. Coliseum/, Vancouver/, B.C./, Canada (Fri)"
511,"1974-07-27","07-27-74",905,222,504,0,-1,"","","07-27-74 Roanoke Civic Center/, Roanoke/, Va. (Sat)"
512,"1974-09-11","09-11-74",913,223,505,0,-1,"","*with Ned Lagin on electric piano **appears on ""Dick's Picks Vol 7""Mickey Hart's 31st birthday","09-11-74 Alexandra Palace/, London/, England (Wed)"
513,"1974-10-16","10-16-74",918,602,506,0,-1,"","Bob Weir's 27th birthday - birthday celebration before the encore","10-16-74 Winterland Arena/, San Francisco/, Ca. (Wed)"
514,"1976-08-02","08-02-76",952,224,507,0,-1,"","","08-02-76 Colt Park/, Hartford/, Ct. (Mon)"
515,"1976-08-04","08-04-76",953,69,508,0,-1,"","","08-04-76 Roosevelt Stadium/, Jersey City/, N.J. (Wed)"
516,"1976-09-23","09-23-76",954,225,509,0,-1,"","","09-23-76 Cameron Indoor Stadium/, Duke U./, Durham/, N.C. (Thu)"
517,"1976-09-25","09-25-76",956,141,510,0,-1,"","sound check: ""All Over Now"" - last ""All Over Now"": 11-20-70 [326] - final ""Cosmic Charlie""","09-25-76 Capital Centre/, Landover/, Md. (Sat)"
518,"1976-09-28","09-28-76",958,226,511,0,-1,"","","09-28-76 Onondaga County War Memorial/, Syracuse/, N.Y. (Tue)"
519,"1976-09-30","09-30-76",959,227,512,1,-1,"","this show was originally booked for the Mershon Auditorium at Ohio State U., but was moved to the larger arena (capacity 12,376 for basketball) three blocks away","09-30-76 St. John Arena/, Columbus/, Oh. (Thu)"
520,"1976-10-03","10-03-76",962,167,513,0,-1,"","""China Cat"" jam during ""NFA""","10-03-76 Cobo Arena/, Detroit/, Mi. (Sun)"
521,"1976-10-10","10-10-76",964,70,514,0,-1,"","""Day On The Green #9"" - billing: The Who; GD - 11:00 AM","10-10-76 Oakland Coliseum Stadium/, Oakland/, Ca. (Sun)"
522,"1977-03-20","03-20-77",972,602,515,0,-1,"","*broadcast on King Biscuit Flour Hour","03-20-77 Winterland Arena/, San Francisco/, Ca. (Sun)"
523,"1977-04-26","04-26-77",976,60,516,0,-1,"","","04-26-77 Capitol Theatre/, Passaic/, N.J. (Tue)"
524,"1977-04-27","04-27-77",977,60,517,0,-1,"","FM broadcast WNEW-New York","04-27-77 Capitol Theatre/, Passaic/, N.J. (Wed)"
525,"1977-05-04","05-04-77",982,124,518,0,-1,"","","05-04-77 The Palladium/, New York/, N.Y. (Wed)"
526,"1977-05-21","05-21-77",994,228,519,0,-1,"","","05-21-77 Lakeland Civic Center Arena/, Lakeland/, Fl. (Sat)"
527,"1977-05-28","05-28-77",998,110,520,0,-1,"","","05-28-77 Hartford Civic Center/, Hartford/, Ct. (Sat)"
528,"1977-06-07","06-07-77",1000,602,521,0,-1,"","""Funiculi Funicula"" tuning before ""El Paso"" - ""Jingle Bells"" tuning before ""Scarlet""","06-07-77 Winterland Arena/, San Francisco/, Ca. (Tue)"
529,"1977-06-08","06-08-77",1001,602,522,0,-1,"","","06-08-77 Winterland Arena/, San Francisco/, Ca. (Wed)"
530,"1977-10-01","10-01-77",1006,42,523,0,-1,"","last ""Black Peter"": 10-19-74 [85]","10-01-77 Paramount Theater/, Portland/, Or. (Sat)"
531,"1977-10-14","10-14-77",1013,102,524,1,-1,"","","10-14-77 Hofheinz Pavilion/, Houston/, Tx. (Fri)"
532,"1977-10-15","10-15-77",1014,229,525,0,-1,"","","10-15-77 Moody Coliseum/, S.M.U./, Dallas/, Tx. (Sat)"
533,"1977-10-30","10-30-77",1018,230,526,0,-1,"","","10-30-77 Assembly Hall/, Indiana U./, Bloomington/, In. (Sun)"
534,"1977-12-29","12-29-77",1025,602,527,0,-1,"","*appears on ""Dick's Picks Vol 10""sound check: ""China Cat""> ""I Know You Rider"" - last ""China Cat> I Know You Rider"": 10-20-74 [103]","12-29-77 Winterland Arena/, San Francisco/, Ca. (Thu)"
535,"1978-01-08","01-08-78",1030,194,528,0,-1,"","no Garcia vocals due to extreme laryngitis","01-08-78 Golden Hall/, Community Concourse/, San Diego/, Ca. (Sun)"
536,"1978-01-11","01-11-78",1032,231,529,0,-1,"","","01-11-78 Shrine Auditorium/, Los Angeles/, Ca. (Wed)"
537,"1978-01-31","01-31-78",1040,171,530,0,-1,"","","01-31-78 Uptown Theatre/, Chicago/, Il. (Tue)"
538,"1978-05-07","05-07-78",1061,232,531,0,-1,"","""Funiculi Funicula"" tuning before ""Mexicali"" - Bill Kreutzmann's 32nd birthday","05-07-78 Field House/, Rensselaer Polytechnic/, Troy/, N.Y. (Sun)"
539,"1978-05-16","05-16-78",1067,171,532,0,-1,"","last ""Comes A Time"": 05-21-77 [73]","05-16-78 Uptown Theatre/, Chicago/, Il. (Tue)"
540,"1978-06-04","06-04-78",1069,164,533,0,-1,"","afternoon concert - The Dead did a sound check of Iko Iko the day before - last ""Nobody's Jam"": 07-21-74 [166] - billing: GD; Warren Zevon; Elvin Bishop; Wah-Koo","06-04-78 Campus Stadium/, U.C.S.B./, Santa Barbara/, Ca. (Sun)"
541,"1978-10-17","10-17-78",1082,602,534,0,-1,"","""From Egypt With Love""","10-17-78 Winterland Arena/, San Francisco/, Ca. (Tue)"
542,"1978-10-18","10-18-78",1083,602,535,0,-1,"","*with Lee Oskar first ""Mojo Jam"" - ""Mojo Jam"" contains ""Mind Left Body Jam"" theme - ""From Egypt With Love""","10-18-78 Winterland Arena/, San Francisco/, Ca. (Wed)"
543,"1978-11-18","11-18-78",1091,171,536,0,-1,"","","11-18-78 Uptown Theatre/, Chicago/, Il. (Sat)"
544,"1978-12-30","12-30-78",1106,46,537,0,-1,"","*with Hamza El-Din **with Lee Oskarlast ""St. Stephen"": 01-22-78 [68]","12-30-78 Pauley Pavilion/, U.C.L.A./, Los Angeles/, Ca. (Sat)"
545,"1979-01-08","01-08-79",1110,8,538,1,5,"","","01-08-79 Madison Square Garden/, New York/, N.Y. (Mon)"
546,"1979-01-17","01-17-79",1116,59,539,0,-1,"","","01-17-79 Veterans Memorial Coliseum/, New Haven/, Ct. (Wed)"
547,"1979-01-20","01-20-79",1118,233,540,0,-1,"","Donna was absent","01-20-79 Shea's Buffalo Theatre/, Buffalo/, N.Y. (Sat)"
548,"1979-05-08","05-08-79",1133,234,541,0,-1,"","last ""China Doll"": 12-29-77 [108] - sound check: China Doll (2x))*","05-08-79 Recreation Hall/, Penn. State U./, State College/, Pa. (Tue)"
549,"1979-05-09","05-09-79",1134,14,542,0,-1,"","""Around"" intro before ""Sugar Magnolia""","05-09-79 Broome County Arena/, Binghamton/, N.Y. (Wed)"
550,"1979-05-11","05-11-79",1135,235,543,0,-1,"","","05-11-79 Billerica Forum/, Billerica/, Ma. (Fri)"
551,"1979-10-28","10-28-79",1155,20,544,0,-1,"","","10-28-79 Cape Cod Coliseum/, South Yarmouth/, Ma. (Sun)"
552,"1979-11-01","11-01-79",1157,5,545,0,-1,"","","11-01-79 Nassau Veterans Memorial Coliseum/, Uniondale/, N.Y. (Thu)"
553,"1979-11-06","11-06-79",1161,36,546,0,-1,"","","11-06-79 The Spectrum/, Philadelphia/, Pa. (Tue)"
554,"1980-01-13","01-13-80",1183,24,547,0,-1,"","*with John Cipollina and Carlos Santana **with Greg ErricoCambodian refugee benefit - FM broadcast KSAN-San Francisco - also: Jefferson Starship; Joan Baez; Beach Boys; Santana solo - ""Amazing Grace"" with Joan Baez, GD and the Beach Boys followed ""U. S. Blues""","01-13-80 Oakland Coliseum Arena/, Oakland/, Ca. (Sun)"
555,"1980-05-10","05-10-80",1195,110,548,0,-1,"","last ""Comes A Time"": 02-09-79 [71]","05-10-80 Hartford Civic Center/, Hartford/, Ct. (Sat)"
556,"1980-05-14","05-14-80",1198,5,549,0,-1,"","","05-14-80 Nassau Veterans Memorial Coliseum/, Uniondale/, N.Y. (Wed)"
557,"1980-05-16","05-16-80",1200,5,550,0,-1,"","","05-16-80 Nassau Veterans Memorial Coliseum/, Uniondale/, N.Y. (Fri)"
558,"1980-05-31","05-31-80",1203,236,551,0,-1,"","","05-31-80 Metropolitan Center/, Minneapolis/, Mn. (Sat)"
559,"1980-06-08","06-08-80",1206,237,552,0,-1,"","official 15th anniversary celebration - also: Warren Zevon","06-08-80 Folsom Field/, University of Colorado/, Boulder/, Co. (Sun)"
560,"1980-06-20","06-20-80",1211,131,553,0,-1,"","","06-20-80 West High Auditorium/, Anchorage/, Ak. (Fri)"
561,"1980-09-25","09-25-80",1231,132,554,0,-1,"","first ""Ain't No Lie"" - last ""All Around This World"": 02-14-70 [706] - last ""Bird Song"": 09-15-73 [382] - last ""Dark Hollow"": 04-29-71 [550] - last ""Monkey & Engineer"": 12-31-70 [589] - last ""Ripple"": 04-29-71 [550] - last ""Rosalie McFall"": 11-08-70 [609] - last ""Roses"": 01-12-79 [118]","09-25-80 Warfield Theater/, San Francisco/, Ca. (Thu)"
562,"1980-09-26","09-26-80",1232,132,555,0,-1,"","last ""China Doll"": 05-08-79 [99] - last ""On The Road Again"": 12-01-66 [1131] - last ""To Lay Me Down"": 10-19-74 [311]","09-26-80 Warfield Theater/, San Francisco/, Ca. (Fri)"
563,"1980-10-10","10-10-80",1242,132,556,0,-1,"","""Jack A Roe"" appears on ""Dead Set"" - last ""Nobody's Jam"": 08-13-79 [98]","10-10-80 Warfield Theater/, San Francisco/, Ca. (Fri)"
564,"1980-10-11","10-11-80",1243,132,557,0,-1,"","*with John Cipollina""Dire Wolf"", ""Deep Elem"", and ""Loser"" appear on ""Reckoning""","10-11-80 Warfield Theater/, San Francisco/, Ca. (Sat)"
565,"1980-10-25","10-25-80",1250,50,558,0,-1,"","""Franklin's"" appears on ""Dead Set""","10-25-80 Radio City Music Hall/, New York/, N.Y. (Sat)"
566,"1980-10-26","10-26-80",1251,50,559,1,-1,"","false start for ""Estimated""","10-26-80 Radio City Music Hall/, New York/, N.Y. (Sun)"
567,"1980-10-30","10-30-80",1254,50,560,0,-1,"","*with Billy Cobham final ""Dark Hollow""","10-30-80 Radio City Music Hall/, New York/, N.Y. (Thu)"
568,"1980-11-29","11-29-80",1258,238,561,0,-1,"","","11-29-80 Alligator Alley Gym/, U. of Fl./, Gainesville/, Fl. (Sat)"
569,"1980-12-28","12-28-80",1266,55,562,1,-1,"","","12-28-80 Oakland Auditorium Arena/, Oakland/, Ca. (Sun)"
570,"1980-12-31","12-31-80",1268,55,563,0,-1,"","*with Matt Kelly **with John Cipollinafinal ""All Around This World"" - last ""Sunshine Daydream"": 12-31-79 [86] - Bill Graham rides in on top of a giant skull","12-31-80 Oakland Auditorium Arena/, Oakland/, Ca. (Wed)"
571,"1981-03-07","03-07-81",1276,239,564,0,-1,"","""Uncle John"" tease after ""Saint""","03-07-81 Cole Field House/, U. of Maryland/, College Park/, Md. (Sat)"
572,"1981-03-09","03-09-81",1277,8,565,0,-1,"","""Wheel"" tease before ""Good Lovin""","03-09-81 Madison Square Garden/, New York/, N.Y. (Mon)"
573,"1981-03-13","03-13-81",1280,215,566,0,-1,"","","03-13-81 Utica Memorial Auditorium/, Utica/, N.Y. (Fri)"
574,"1981-03-21","03-21-81",1283,240,567,0,-1,"","","03-21-81 Rainbow Theater/, London/, England (Sat)"
575,"1981-05-01","05-01-81",1288,6,568,0,-1,"","","05-01-81 Hampton Coliseum/, Hampton/, Va. (Fri)"
576,"1981-05-04","05-04-81",1290,36,569,0,-1,"","""Camptown Races> Merry-Go-Round Broke Down"" tuning into ""Playin"" - last ""Nobody's Fault"": 01-05-79 [182]","05-04-81 The Spectrum/, Philadelphia/, Pa. (Mon)"
577,"1981-05-08","05-08-81",1293,5,570,0,-1,"","*with Ken Kesey on harmonica","05-08-81 Nassau Veterans Memorial Coliseum/, Uniondale/, N.Y. (Fri)"
578,"1981-05-09","05-09-81",1294,5,571,0,-1,"","double start for ""Brokedown""","05-09-81 Nassau Veterans Memorial Coliseum/, Uniondale/, N.Y. (Sat)"
579,"1981-05-11","05-11-81",1295,59,572,0,-1,"","","05-11-81 Veterans Memorial Coliseum/, New Haven/, Ct. (Mon)"
580,"1981-05-13","05-13-81",1297,35,573,0,-1,"","","05-13-81 Providence Civic Center/, Providence/, R.I. (Wed)"
581,"1981-05-16","05-16-81",1299,1,574,0,-1,"","","05-16-81 Barton Hall/, Cornell University/, Ithaca/, N.Y. (Sat)"
582,"1981-07-04","07-04-81",1302,241,575,0,-1,"","*One More Fourth Of July","07-04-81 Manor Downs/, Austin/, Tx. (Sat)"
583,"1981-07-07","07-07-81",1304,242,576,0,-1,"","last ""Dancin"": 12-10-79 [128]","07-07-81 Kansas City Municipal Auditorium Arena/, Kansas City/, Mo. (Tue)"
584,"1981-07-13","07-13-81",1308,112,577,0,-1,"","","07-13-81 McNichols Sports Arena/, Denver/, Co. (Mon)"
585,"1981-09-11","09-11-81",1318,29,578,0,-1,"","",""
586,"1981-10-04","10-04-81",1327,240,579,0,-1,"","",""
587,"1981-10-06","10-06-81",1328,240,580,0,-1,"","",""
588,"1981-10-19","10-19-81",1336,243,581,0,-1,"","",""
589,"1981-12-03","12-03-81",1340,18,582,0,-1,"","",""
590,"1981-12-27","12-27-81",1347,55,583,0,-1,"","",""
591,"1982-04-02","04-02-82",1358,225,584,0,-1,"","Jerry & Phil swap sides","04-02-82 Cameron Indoor Stadium/, Duke U./, Durham/, N.C. (Fri)"
592,"1982-04-14","04-14-82",1366,244,585,0,-1,"","","04-14-82 Glens Falls Civic Center/, Glens Falls/, N.Y. (Wed)"
593,"1982-04-17","04-17-82",1368,110,586,0,-1,"","*without Jerry","04-17-82 Hartford Civic Center/, Hartford/, Ct. (Sat)"
594,"1982-05-22","05-22-82",1372,29,587,0,-1,"","","05-22-82 Greek Theatre/, U. of California/, Berkeley/, Ca. (Sat)"
595,"1982-05-23","05-23-82",1373,29,588,0,-1,"","motorcycle space before ""Other One""","05-23-82 Greek Theatre/, U. of California/, Berkeley/, Ca. (Sun)"
596,"1982-07-17","07-17-82",1375,175,589,0,-1,"","","07-17-82 County Fairgrounds/, Ventura/, Ca. (Sat)"
597,"1982-07-28","07-28-82",1379,10,590,0,-1,"","""C. C. Rider"" tease Before ""Lazy Lightning""","07-28-82 Red Rocks Amphitheatre/, Morrison/, Co. (Wed)"
598,"1982-07-31","07-31-82",1381,241,591,0,-1,"","","07-31-82 Manor Downs/, Austin/, Tx. (Sat)"
599,"1982-08-06","08-06-82",1385,172,592,1,-1,"","","08-06-82 St. Paul Civic Center Arena/, St. Paul/, Mn. (Fri)"
600,"1982-09-15","09-15-82",1396,141,593,0,-1,"","first ""Touch""","09-15-82 Capital Centre/, Landover/, Md. (Wed)"
601,"1982-09-17","09-17-82",1397,245,594,0,-1,"","first ""Throwing Stones""","09-17-82 Cumberland County Civic Center/, Portland/, Me. (Fri)"
602,"1982-10-09","10-09-82",1403,51,595,0,-1,"","","10-09-82 Frost Amphitheatre/, Stanford U./, Palo Alto/, Ca. (Sat)"
603,"1983-03-26","03-26-83",1413,246,596,0,-1,"","","03-26-83 Aladdin Theatre/, Las Vegas/, Nv. (Sat)"
604,"1983-04-12","04-12-83",1420,14,597,0,-1,"","","04-12-83 Broome County Arena/, Binghamton/, N.Y. (Tue)"
605,"1983-04-17","04-17-83",1424,11,598,0,-1,"","*with Stephen Stills only ""Love The One You're With""","04-17-83 Meadowlands Arena/, East Rutherford/, N.J. (Sun)"
606,"1983-04-19","04-19-83",1425,247,599,0,-1,"","","04-19-83 Alfond Arena/, U. of Maine/, Orono/, Me. (Tue)"
607,"1983-04-22","04-22-83",1427,59,600,0,-1,"","""Funiculi Funicula"" & ""Beer Barrel Polka"" tunings before ""Stranger"" - last ""Spoonful"": 10-15-81 [94]","04-22-83 Veterans Memorial Coliseum/, New Haven/, Ct. (Fri)"
608,"1983-04-23","04-23-83",1428,59,601,0,-1,"","""Funiculi Funicula"" tuning before ""Candyman""","04-23-83 Veterans Memorial Coliseum/, New Haven/, Ct. (Sat)"
609,"1983-05-13","05-13-83",1431,29,602,0,-1,"","first ""Bucket""","05-13-83 Greek Theatre/, U. of California/, Berkeley/, Ca. (Fri)"
610,"1983-05-14","05-14-83",1432,29,603,0,-1,"","","05-14-83 Greek Theatre/, U. of California/, Berkeley/, Ca. (Sat)"
611,"1983-06-21","06-21-83",1436,38,604,0,-1,"","","06-21-83 Merriweather Post Pavilion/, Columbia/, Md. (Tue)"
612,"1983-06-25","06-25-83",1439,172,605,0,-1,"","","06-25-83 St. Paul Civic Center Arena/, St. Paul/, Mn. (Sat)"
613,"1983-06-27","06-27-83",1440,248,606,0,-1,"","","06-27-83 Poplar Creek Music Theatre/, Hoffman Estates/, Il. (Mon)"
614,"1983-08-31","08-31-83",1450,249,607,0,-1,"","","08-31-83 Silva Hall/, Hult Center/, Eugene/, Or. (Wed)"
615,"1983-09-04","09-04-83",1452,250,608,0,-1,"","*""One more Labor Day night""","09-04-83 Park West Ski Resort/, Park West/, Ut. (Sun)"
616,"1983-09-08","09-08-83",1455,10,609,0,-1,"","","09-08-83 Red Rocks Amphitheatre/, Morrison/, Co. (Thu)"
617,"1983-09-10","09-10-83",1456,251,610,0,-1,"","","09-10-83 Downs of Santa Fe/, Santa Fe/, N.M. (Sat)"
618,"1983-10-08","10-08-83",1461,27,611,0,-1,"","""Sugar Magnolia"" intro before ""Good Lovin""","10-08-83 Richmond Coliseum/, Richmond/, Va. (Sat)"
619,"1983-10-14","10-14-83",1465,110,612,0,-1,"","entire show comprises ""Dick's Picks Vol 6""","10-14-83 Hartford Civic Center/, Hartford/, Ct. (Fri)"
620,"1983-12-30","12-30-83",1476,177,613,0,-1,"","sound check: Shakedown - last ""Mind Left Body Jam"": 10-17-74 [557]","12-30-83 San Francisco Civic Auditorium/, San Francisco/, Ca. (Fri)"
621,"1984-04-26","04-26-84",1493,35,614,0,-1,"","*without Bobby, Jerry, and Phil last ""Good Times"": 12-28-82 [84]","04-26-84 Providence Civic Center/, Providence/, R.I. (Thu)"
622,"1984-05-08","05-08-84",1499,249,615,0,-1,"","*with Ken Kesey, Ken Babbs & The Thunder Machine""Beer Barrel Polka"" tuning before ""Jack Straw""","05-08-84 Silva Hall/, Hult Center/, Eugene/, Or. (Tue)"
623,"1984-06-24","06-24-84",1507,88,616,0,-1,"","last ""Dancin"": 07-07-81 [203]","06-24-84 Saratoga Performing Arts Center/, Saratoga/, N.Y. (Sun)"
624,"1984-07-14","07-14-84",1518,29,617,0,-1,"","*with Matt Kelly","07-14-84 Greek Theatre/, U. of California/, Berkeley/, Ca. (Sat)"
625,"1984-07-22","07-22-84",1521,175,618,0,-1,"","""I Just Want"" tease before ""Cassidy"" - last ""I Just Want"": 11-29-66 [1422]","07-22-84 County Fairgrounds/, Ventura/, Ca. (Sun)"
626,"1984-10-08","10-08-84",1524,109,619,0,-1,"","","10-08-84 The Centrum/, Worcester/, Ma. (Mon)"
627,"1984-10-09","10-09-84",1525,109,620,0,-1,"","last ""Smokestack"": 03-22-72 [795] - ""Revolution"" for John Lennon's birthday","10-09-84 The Centrum/, Worcester/, Ma. (Tue)"
628,"1984-10-11","10-11-84",1526,135,621,0,-1,"","","10-11-84 Augusta Civic Center/, Augusta/, Me. (Thu)"
629,"1984-12-31","12-31-84",1541,177,622,0,-1,"","Bill Graham rides in on a lightning bolt - FM broadcast KFOG-San Francisco - national radio broadcast - also: The Bobs; The Brass Band","12-31-84 San Francisco Civic Auditorium/, San Francisco/, Ca. (Mon)"
630,"1985-03-25","03-25-85",1552,107,623,0,-1,"","","03-25-85 Springfield Civic Center Arena/, Springfield/, Ma. (Mon)"
631,"1985-03-28","03-28-85",1554,5,624,1,5,"","*with Matt Kelly","03-28-85 Nassau Veterans Memorial Coliseum/, Uniondale/, N.Y. (Thu)"
632,"1985-03-31","03-31-85",1556,245,625,0,-1,"","inverted ""Playin""","03-31-85 Cumberland County Civic Center/, Portland/, Me. (Sun)"
633,"1985-04-04","04-04-85",1559,35,626,0,-1,"","last ""Crazy Fingers"": 10-08-83 [98] - last ""She Belongs To Me"": 01-07-66 [1547]","04-04-85 Providence Civic Center/, Providence/, R.I. (Thu)"
634,"1985-04-14","04-14-85",1564,252,627,1,-1,"","","04-14-85 Irvine Meadows Amphitheatre/, Irvine/, Ca. (Sun)"
635,"1985-04-28","04-28-85",1566,51,628,0,-1,"","","04-28-85 Frost Amphitheatre/, Stanford U./, Palo Alto/, Ca. (Sun)"
636,"1985-06-25","06-25-85",1573,253,629,0,-1,"","","06-25-85 Blossom Music Center/, Cuyahoga Falls/, Oh. (Tue)"
637,"1985-07-02","07-02-85",1578,254,630,1,-1,"","","07-02-85 Pittsburgh Civic Arena/, Pittsburgh/, Pa. (Tue)"
638,"1985-08-30","08-30-85",1582,255,631,0,-1,"","","08-30-85 Southern Star Amphitheatre/, Houston/, Tx. (Fri)"
639,"1985-09-02","09-02-85",1584,256,632,0,-1,"","","09-02-85 Zoo Amphitheatre/, Oklahoma City/, Ok. (Mon)"
640,"1985-09-11","09-11-85",1590,138,633,0,-1,"","Mickey Hart's 42nd birthday - 42 beat ""BIODTL""","09-11-85 Henry J. Kaiser Convention Center/, Oakland/, Ca. (Wed)"
641,"1985-11-10","11-10-85",1604,11,634,0,-1,"","","11-10-85 Meadowlands Arena/, East Rutherford/, N.J. (Sun)"
